,Movie,Screen,Sales,Audience,Genre,Rate,month,year,AgeRate,Genre_1
182,슬로우 비디오,618,8840530219,1159.787,드라마,12세이상관람가,10,2014,0,6
183,미씽: 사라진 여자,790,8881616256,1153.109,미스터리,15세이상관람가,11,2016,1,9
184,퍼펙트맨,894,9604139750,1144.894,코미디,15세이상관람가,10,2019,1,17
185,장사리 : 잊혀진 영웅들,1090,8997921050,1140.876,전쟁,12세이상관람가,9,2019,0,16
186,고령화 가족,583,8159482153,1139.25,드라마,15세이상관람가,5,2013,1,6
187,하루,781,9068009842,1129.018,스릴러,15세이상관람가,6,2017,1,12
188,챔피언,874,9441064230,1125.319,드라마,12세이상관람가,5,2018,0,6
189,성난 변호사,607,8697174039,1124.918,범죄,15세이상관람가,10,2015,1,10
190,"당신, 거기 있어줄래요",767,8999085248,1124.815,판타지,12세이상관람가,12,2016,0,18
191,간신,697,8946842910,1110.246,사극,청소년관람불가,5,2015,3,11
192,롱 리브 더 킹: 목포 영웅,965,9218262910,1092.738,액션,15세이상관람가,6,2019,1,14
193,오빠생각,855,8058857287,1069.436,드라마,12세이상관람가,1,2016,0,6
194,악녀,685,9730720144,1206.917,액션,청소년관람불가,6,2017,3,14
195,그놈이다,681,8098811152,1046.313,스릴러,15세이상관람가,10,2015,1,12
196,동창생,660,6983395126,1044.522,액션,15세이상관람가,11,2013,1,14
197,염력,1099,7484644112,990.104,드라마,15세이상관람가,1,2018,1,6
198,"날, 보러와요",683,8821335063,1061.412,미스터리,청소년관람불가,4,2016,3,9
199,미쓰 와이프,437,7357162869,984.265,코미디,15세이상관람가,8,2015,1,17
200,"고산자, 대동여지도",765,7777473258,971.194,사극,전체관람가,9,2016,2,11
201,우리는 형제입니다,566,7263255399,970.373,코미디,12세이상관람가,10,2014,0,17
202,전국노래자랑,581,6606589000,963.634,코미디,12세이상관람가,5,2013,0,17
203,나랏말싸미,1211,7871240823,958.775,사극,전체관람가,7,2019,2,11
204,허삼관,621,7405415569,955.175,드라마,12세이상관람가,1,2015,0,6
205,인간중독,682,11284787400,1441.964,멜로/로맨스,청소년관람불가,5,2014,3,7
206,뽀로로 극장판 슈퍼썰매 대모험,459,6819979500,929.985,애니메이션,전체관람가,1,2013,2,13
207,더 킹,1310,7266896026,905.885,범죄,15세이상관람가,1,2017,1,10
208,인랑,1085,6994748173,897.548,SF,15세이상관람가,7,2018,1,0
209,결백,1112,7858105340,893.856,드라마,15세이상관람가,6,2020,1,6
210,신비아파트 극장판 하늘도깨비 대 요르문간드,841,7046110380,893.221,애니메이션,전체관람가,12,2019,2,13
211,극장판 헬로카봇 : 백악기 시대,758,6542619500,874.967,애니메이션,전체관람가,8,2018,2,13
212,열한시,512,6097792000,870.785,스릴러,15세이상관람가,11,2013,1,12
213,신세계,671,34881330905,4682.492,범죄,청소년관람불가,2,2013,3,10
214,좋아해줘,637,6572774337,848.148,멜로/로맨스,12세이상관람가,2,2016,0,7
215,대립군,809,6276963402,837.5,드라마,15세이상관람가,5,2017,1,6
216,손님,634,6385295880,827.918,판타지,15세이상관람가,7,2015,1,18
217,뽀로로 극장판 공룡섬 대모험,803,6203897300,824.079,애니메이션,전체관람가,12,2017,2,13
218,남쪽으로 튀어,428,5907297500,821.918,코미디,15세이상관람가,2,2013,1,17
219,레드슈즈,717,6102923190,817.547,애니메이션,전체관람가,7,2019,2,13
220,카트,544,5809735433,799.275,드라마,12세이상관람가,11,2014,0,6
221,상의원,466,6202433964,790.158,사극,15세이상관람가,12,2014,1,11
222,살인의뢰,646,6986456737,855.98,범죄,청소년관람불가,3,2015,3,10
223,미옥,635,1897705564,238.587,범죄,청소년관람불가,11,2017,3,10
